,R,cidx,C,m
525,0.161616162,0.050505051,1.53E-09,3.757686869
526,0.168080808,0.050505051,1.55E-09,3.757686869
527,0.174545455,0.050505051,1.56E-09,3.757686869
528,0.181010101,0.050505051,1.58E-09,3.757686869
529,0.187474747,0.050505051,1.59E-09,3.757686869
530,0.193939394,0.050505051,1.61E-09,3.757686869
531,0.20040404,0.050505051,1.62E-09,3.757686869
532,0.206868687,0.050505051,1.64E-09,3.757686869
533,0.213333333,0.050505051,1.65E-09,3.757686869
534,0.21979798,0.050505051,1.67E-09,3.757686869
535,0.226262626,0.050505051,1.69E-09,3.757686869
536,0.232727273,0.050505051,1.70E-09,3.757686869
537,0.239191919,0.050505051,1.72E-09,3.757686869
538,0.245656566,0.050505051,1.74E-09,3.757686869
