dS,R,Seq,cidx,a,da,dai,dap
47.11662332,0.0220024,0.251522304,0.517303461,0.00909782,7.16E-06,7.18E-16,7.16E-06
33.47229446,-0.121054211,0.45765153,0.946189238,0.003368674,1.21E-06,9.57E-15,1.21E-06
5.545109022,0.422978596,0.460628126,0.554910982,0.014002801,2.77E-07,3.25E-16,2.77E-07
71.61592318,0.440208042,0.230314063,0.607921584,0.019807962,4.45E-05,1.78E-16,4.45E-05
28.22964593,0.309681936,1.429137828,0.889577916,0.00224845,9.33E-07,2.02E-14,9.33E-07
11.54390878,0.598753751,1.806793359,0.888777756,0.002736547,2.94E-07,1.36E-14,2.94E-07
32.29605921,0.095793159,0.263428686,0.340468094,0.003328666,1.47E-06,3.53E-15,1.47E-06
81.46269254,-0.079981996,0.202408482,0.403480696,0.010034007,1.85E-05,4.60E-16,1.85E-05
48.91458292,0.244940988,1.769585917,0.26045209,0.005905181,5.99E-06,8.58E-16,5.99E-06
26.49889978,0.190816163,1.15119824,0.334266853,0.00864973,2.63E-06,5.13E-16,2.63E-06
81.10982196,0.087787558,0.442768554,0.692138428,0.010490098,2.33E-05,7.22E-16,2.33E-05
25.10422084,0.363110622,0.476627325,0.393278656,0.010510102,3.29E-06,4.09E-16,3.29E-06
23.17183437,0.489633927,0.318123625,0.177235447,0.014974995,4.48E-06,9.08E-17,4.48E-06
20.4664933,-0.199369874,1.660568114,0.066213243,0.009345869,1.10E-06,8.70E-17,1.10E-06
21.12182436,0.027745549,0.817447489,0.784156831,0.018859772,3.19E-06,2.53E-16,3.19E-06
61.14742949,0.267217443,0.69615123,0.698539708,0.00030006,8.91E-13,8.91E-13,5.84E-07
4.318463693,-0.105391078,0.682756551,0.189637928,0.01529906,1.13E-07,9.30E-17,1.13E-07
76.18643729,-0.077719544,0.299519904,0.798759752,0.011306261,1.83E-05,7.17E-16,1.83E-05
45.85637127,0.138083617,0.482952591,0.043408682,0.013510702,1.06E-05,2.73E-17,1.06E-05
26.5325065,0.23919784,0.350866173,0.25745149,0.005073015,1.67E-06,1.15E-15,1.67E-06
41.50430086,-0.181618324,1.326073215,0.76115223,0.008625725,3.90E-06,1.17E-15,3.90E-06
68.30566113,-0.117225445,0.030510102,0.975195039,0.001892378,2.67E-06,3.13E-14,2.67E-06
13.29145829,0.395655131,0.892234447,0.037007401,0.017339468,1.66E-06,1.41E-17,1.66E-06
8.855371074,0.625207041,0.889257852,0.99619924,0.000132026,6.56E-12,6.56E-12,1.13E-08
12.06481296,0.134080816,0.585645129,0.480696139,0.009561912,6.45E-07,6.04E-16,6.45E-07
17.44188838,0.524788958,0.208733747,0.883776755,0.018675735,3.39E-06,2.91E-16,3.39E-06
45.26825365,0.356845369,1.376303261,0.544108822,0.017731546,1.58E-05,1.99E-16,1.58E-05
45.83956791,0.391826365,0.814842969,0.127225445,0.011562312,1.13E-05,1.09E-16,1.13E-05
76.35447089,0.600668134,1.321608322,0.364872975,0.007477495,2.48E-05,7.49E-16,2.48E-05
56.27445489,0.465269054,1.643452691,0.388677736,0.007425485,1.18E-05,8.09E-16,1.18E-05
82.63892779,0.487371474,1.629685937,0.026605321,0.015739148,4.94E-05,1.23E-17,4.94E-05
13.89637928,-0.204068814,1.407929586,0.485297059,0.000944189,6.39E-08,6.25E-14,6.39E-08
46.83096619,0.041842368,0.916791358,0.172034407,0.004632927,3.83E-06,9.20E-16,3.83E-06
10.35087017,-0.116529306,0.946185237,0.515903181,0.017003401,6.20E-07,2.05E-16,6.20E-07
61.0970194,0.315773155,0.515323065,0.75095019,0.009985997,1.56E-05,8.65E-16,1.56E-05
77.96759352,0.040972194,1.53555111,0.145429086,0.00430086,9.20E-06,9.03E-16,9.20E-06
83.21024205,0.471534307,1.244960992,0.862772555,0.016071214,5.01E-05,3.84E-16,5.01E-05
15.77835567,0.50025005,1.702612523,0.869373875,0.003540708,5.86E-07,7.96E-15,5.86E-07
49.50270054,0.402616523,0.913442689,0.599519904,0.005965193,7.11E-06,1.93E-15,7.11E-06
11.15743149,0.490678136,1.1924985,0.5105021,0.010326065,8.21E-07,5.50E-16,8.21E-07
79.24464893,0.492592519,0.317379476,0.209641928,0.016467293,4.80E-05,8.88E-17,4.80E-05
0.621724345,0.422804561,1.194358872,0.813962793,0.007045409,2.54E-09,1.88E-15,2.54E-09
63.01260252,-0.100518104,0.34974995,0.26245249,0.015271054,1.64E-05,1.29E-16,1.64E-05
0.352870574,0.193426685,0.216175235,0.041208242,0.00380076,4.12E-10,3.28E-16,4.12E-10
50.72934587,-0.194496899,0.118691738,0.99559912,0.000236047,2.05E-12,2.05E-12,1.98E-07
6.570114023,0.42854771,0.97929986,0.521704341,0.017367473,4.65E-07,1.99E-16,4.65E-07
51.03180636,0.544454891,0.410026005,0.74854971,0.005241048,7.83E-06,3.13E-15,7.83E-06
66.42368474,-0.121924385,0.68015203,0.9879976,0.008289658,9.90E-06,1.65E-15,9.90E-06
16.50090018,-0.16230046,1.054086817,0.0070014,0.008341668,7.06E-07,1.16E-17,7.06E-07
82.37007401,-0.003580716,0.040928186,0.847169434,0.005325065,1.20E-05,3.43E-15,1.20E-05
38.00920184,0.356497299,0.012278456,0.957591518,0.004676935,3.33E-06,5.03E-15,3.33E-06
3.763952791,0.553504701,1.089061812,0.129025805,0.003064613,3.85E-08,1.58E-15,3.85E-08
6.553310662,0.14904781,0.484812963,0.979795959,0.003716743,8.77E-08,8.14E-15,8.77E-08
31.1030206,0.156705341,1.589129826,0.014802961,0.015659132,5.99E-06,6.93E-18,5.99E-06
43.08381676,0.137909582,1.51359872,0.065213043,0.002908582,2.27E-06,8.85E-16,2.27E-06
49.9059812,0.521482296,0.868793759,0.351270254,0.01255051,1.64E-05,2.56E-16,1.64E-05
81.74834967,0.065337067,1.045157031,0.060012002,0.009961992,2.22E-05,6.94E-17,2.22E-05
23.13822765,0.553678736,0.592714543,0.053210642,0.013554711,4.42E-06,3.33E-17,4.42E-06
25.77635527,0.362414483,1.701496299,0.879575915,0.007085417,2.39E-06,2.01E-15,2.39E-06
21.69313863,0.518175635,0.555879176,0.733346669,0.010942188,3.07E-06,7.03E-16,3.07E-06
12.03120624,-0.080678136,0.963672735,0.619123825,0.006817363,3.73E-07,1.53E-15,3.73E-07
29.33866773,0.074908982,1.187661532,0.924184837,0.015395079,5.01E-06,4.48E-16,5.01E-06
22.75175035,0.479365873,0.466953391,0.027605521,0.00984997,2.91E-06,3.27E-17,2.91E-06
65.85237047,-0.051092218,1.533690738,0.735147029,0.010086017,1.32E-05,8.30E-16,1.32E-05
29.18743749,0.567079416,1.618523705,0.573114623,0.012074415,6.21E-06,4.51E-16,6.21E-06
7.813562713,0.106235247,0.505277055,0.866373275,0.007977596,2.39E-07,1.56E-15,2.39E-07
82.65573115,0.450476095,0.562204441,0.618323665,0.009225845,2.89E-05,8.34E-16,2.89E-05
49.08261652,0.523744749,0.714754951,0.831766353,0.004256851,5.85E-06,5.27E-15,5.85E-06
38.86617323,0.157227445,0.258219644,0.715343069,0.014454891,8.40E-06,3.93E-16,8.40E-06
61.71874375,0.154268854,0.85539908,0.794958992,0.016315263,2.21E-05,3.43E-16,2.21E-05
58.42528506,-0.116181236,1.534434887,0.26085217,0.014186837,1.30E-05,1.49E-16,1.30E-05
52.56091218,0.367461492,0.970742148,0.816963393,0.001516303,2.16E-06,4.08E-14,2.16E-06
18.85337067,-0.046741348,1.410162032,0.776355271,0.008081616,1.07E-06,1.36E-15,1.07E-06
60.50890178,0.236761352,1.046645329,0.650130026,0.009261852,1.34E-05,8.70E-16,1.34E-05
23.05421084,0.217965593,0.770566113,0.869573915,0.009769954,2.32E-06,1.05E-15,2.32E-06
69.045009,-0.005321064,0.888141628,0.069213843,0.006977395,1.11E-05,1.63E-16,1.11E-05
